hospital,comment_th,comment_eng,score
Chulalongkorn,"บริการค่อยข้างดีค่ะ แต่รอคิวนานนิดหน่อย แต่วินิจฉัยผลแม่นยำ เจ็บป่วยไปรพ. จุฬาทีไร หายทุกครั้งค่ะ แถมราคาไม่แพงด้วยค่ะ เหมาะกับเด็กต่างจังหวัดที่เข้ามาอาศัยในกรุงเทพได้มากเลยค่ะ ตอนแรกหนูก็กังวลว่าจะแพง
อาหารที่จำหน่ายก็อนามัยมากค่ะ มีปริมาณและจำนวนแคลอรี่บอกด้วย รสชาติค่อนข้างดีค่ะ ไม่จัดจ้านจนเกินไป แอร์หนาวมาก55555555555","Service pretty good But wait a little longer But accurate diagnosis Sick to hospitals. CU avoids lost every time. It is affordable too Suitable for children of different provinces who came to live in Bangkok too. At first I was worried it would be expensive.
Food distribution is very hygienic. The volume and the number of calories tell. The taste is quite good Not too spicy Very cold air 55555555555",5
Chulalongkorn,ได้มีอาการอาหารเป็นพิษและเข้าทำการรักษาที่โรงพยาบาบแห่งนี้ ทางคุณหมอแลัพยาบาลดูแลดีมาก พร้อมกับแนะนำการรักษาเบื้องต้น โดยที่ทางผมนั้นได้ปฏิบัติตามคำแนะนำของคุณหมอแบะทานยาควบคู่กับที่คุณหมอได้แจ้งไว้ ใช้เวลาไม่ถึง 2 วัน อาการอาหารเป็นพิษก็หายเป็นปลิดทิ้ง ต้องขอบคุณทางโรงพยาบาลที่ช่วยดูแลมากแบบนี้ครับ,"Food poisoning and had to be treated at the hospital's property. The doctor Moi Hospital care is very good. Along with the recommended initial treatment By the way, I have followed the advice of the doctor opened the medicine with your doctor informed. Less than 2 days of food poisoning was gone entirely. Thanks to the hospital to take care of this.",5
Chulalongkorn,มีบริการดีในระดับนึงเลยครับ เรยไปอยู่หลายครั้ง ประทับใจทุกครั้งครับ พอถึงคิวตรวจ เข้าไปคุยกับคุณหมอ ตอนแรกก็ไม่รู้อาการว่าตัวเองเป็นโรคอะไรเพราะปกติจะมีอาการแบบโรคกระเพาะมักจะนึกว่าตนเองเป็นโรคกระเพาะตลอด พอมาตรวจกับคุณหมอจึงรู้เลยว่าตัวเองเป็นโรคเกี่ยวกับลำไส้ คุณหมอเก่งมากรักษาถูกจุด อาการก็ดีขึ้นเรื่อยๆ,It offers a good level here. Ray went several times Impressive enough time to queue to check with your doctor. At first I did not know myself what the disease because symptoms are often imagines himself an ulcer and gastritis. But check with your doctor so that you know yourself as intestinal diseases. You were a very good treatment. Symptoms improved steadily,5
Chulalongkorn,สำหรับโรงพยาบาลจุฬาลงกรณ์ บริการดีมากค่ะ ฝากท้องและคลอดที่นี่ รวมถึงการคุมกำเนิด ประทับใจตั้งแต่เริ่มฝากท้อง บุคลากรทุกท่านให้ความใส่ใจคุณแม่ทุกท่านดีมากค่ะ นักศึกษาแพทย์ รวมถึงนางพยาบาล ใจดีมากค่ะ น่ารักทุกคน ถ้ามีคนที่สองฝากที่นี่เหมือนเดิมค่ะ ขอให้ทาง รพ.รักษาภาพลักษณ์ที่ดีตลอดไปเพื่อคนไข้ทุกคน ขอบคุณค่ะ,"For hospital Very good service ฝaktgag and give birth here Including contraception Impressive start ฝaktgag All staff are attentive mothers, all very good. Medical students The nurses are very kind I love every second if someone leave here like you ask the hospital to maintain a good image for every patient, thank you.",5
Chulalongkorn,ตรวจดีๆมากๆนะ คุณหมอให้คะแนำนะวินิจฉัย​ดีมากๆ เพราะตรวจสุขภาพเป็นสิ่งที่จำเป็นและคสรระวัง เพราะบางโรคมักมาโดยไม่รู้ตัว เคยแนะนำให้เพืือนไปตรวจที่โรงพยาบาบนี้เหมือนกะน เพื่อนก็โอเคด้วย เพราะบริการ ดีเ็นระบบ เรียบร้อย เลยอยากมารีวิวเพื่อให้ทุกคนไปใข้บริการและเป็นส่วนนึวของการตัดสินใจในการรักษาและดูแลสุขภาะของตัวเราเอง,"Make it very much The doctor gave me the diagnosis, I แnm good. The check-ups are necessary and careful construction. For some diseases, often without knowing it. Exams have been advised to check before going to the hospital on the same shift. I was okay with it because I want to serve great wilderness system has come to review all services and to gain a portion of one of the decisions in the treatment and care of our own Paa.",5
Chulalongkorn,ตรวจดีมากๆค่ะคุณหมอละเอียด พยาบาลก็ดีดูแลคนไข้ดีค่ะใกล้บ้านไปง่ายกลับง่ายสะดวกมากๆเลยค่ะ รับยาก็ไม่นานมากพอรอไหวไปตรวจภายในมา บอกละเอียดหมดเลยค่ะชอบมากอยากไปตรวจทุกปี บอกตั้งแต่หัวจรดเท้าเลย ภายในเราเป็นยังไงบ้างละเอียดมากค่ะอยากให้ทุกคนลองไปใช้บริการโรงพยาบาลจุฬาลงกรณ์ดูนะคะ เพื่อเป็นประโยชน์ของทุกคน ดีมากจริงๆค่ะแนะนำเลย,"Make very good doctor profile. Good nursing care for patients well enough to go back home, easy and good. Treatment is not long enough for me to check on it. Tell me more, I'd like to check every year. Tell me from head to toe We are also doing a fine not want anyone to try to use the hospital soon. For the benefit of all Very good, really good advice",4
Chulalongkorn,บิรการดีในระดับนึงเลยครับ เรยไปอยู่หลายครั้ง ประทับใจทุกครั้งครับ พอถึงคิวตรวจ เข้าไปคุยกับคุณหมอ ตอนแรกก็ไม่รู้อาการว่าตัวเองเป็นโรคอะไรเพราะปกติจะมีอาการแบบโรคกระเพาะมักจะนึกว่าตนเองเป็นโรคกระเพาะตลอด พอมาตรวจกับคุณหมอจึงรู้เลยว่าตัวเองเป็นโรคเกี่ยวกับลำไส้ คุณหมอเก่งมากรักษาถูกจุด อาการก็ดีขึ้นเรื่อยๆ,Built in the good thing here. Ray went several times Impressive enough time to queue to check with your doctor. At first I did not know myself what the disease because symptoms are often imagines himself an ulcer and gastritis. But check with your doctor so that you know yourself as intestinal diseases. You were a very good treatment. Symptoms improved steadily,4
Chulalongkorn,มีโอกาสได้ไปหาหมอที่โรงพยาบาลจุฬาลงกรณ์ค่ะ คุณหมอเก่งมีประสบการณ์ มีความเชี่ยวชาญ สงสัยอะไรสอบถามคุณหมอได้หมดค่ะ มีการบริการที่ดี ใส่ใจผู้ป่วย ลดความเครียดและตระหนกได้เป็นอย่างดี แต่คิวยาวมากเช่นเดียวกันค่ะ ต้องรอระยะนึง เนื่องจากไม่ได้เป็นหนักมาก หรือฉุกเฉิน โดยรวมถือว่าโอเค ได้รับข้อมูลที่ต้องการ,"Have the opportunity to go to the doctor at the hospital here. You have good experience Expert Ask your doctor to suspect anything out of it. The service is good, patient care, reduce stress and panic as well. But very long queue like it. Wait a while Since it is very hard or emergency overall considered okay. Get the information they need",4
Chulalongkorn,ตรวจดีมากๆค่ะคุณหมอละเอียด พยาบาลก็ดีดูแลคนไข้ดีค่ะใกล้บ้านไปง่ายกลับง่ายสะดวกมากๆเลยค่ะ รับยาก็ไม่นานมากพอรอไหวไปตรวจภายในมา บอกละเอียดหมดเลยค่ะชอบมากอยากไปตรวจทุกปี บอกตั้งแต่หัวจรดเท้าเลย ภายในเราเป็นยังไงบ้างละเอียดมากค่ะอยากให้ทุกคนลองไปใช้บริการโรงพยาบาลจุฬาลงกรณ์ดูนะคะ เพื่อเป็นประโยชน์ของทุกคน ดีมากจริงๆค่ะแนะนำเลย,"Make very good doctor profile. Good nursing care for patients well enough to go back home, easy and good. Treatment is not long enough for me to check on it. Tell me more, I'd like to check every year. Tell me from head to toe We are also doing a fine not want anyone to try to use the hospital soon. For the benefit of all Very good, really good advice",5
Chulalongkorn,ไปฝังยาคุมที่โรงพยาบาลจุฬามาค่ะเดินทางสะดวกอยู่ติดbtsและmrt บริการรวดเร็วมีความเป็นกันเองมากค่ะสำหรับบุคคลที่อายุไม่เกิน20ปีฝังฟรีค่ะจ่ายแค่ค่าตรวจภายใน300บาท นักศึกษามาจากต่างจังหวัดก็สามารถฝังได้ค่ะสามารถปรึกษานักสังคมสงเคราะห์ที่แผนกสุตินรีเวชได้ค่ะแต่ถ้าไม่เคยทำบัตรควรมารอคิวตั้งแต่เช้าเพราะใช้เวลาทำค่อนข้างนานค่ะ,"Embedded pills that come in Chulalongkorn Hospital, conveniently located next bts and mrt. Fast service is very friendly for individuals under 20 years of burying it free, pay examination fee is 300 baht. Students from other provinces, you can bury it can consult a social worker at the Department of Gynecology Suti, but if it had not been waiting since morning should do because it takes quite a long time.",5
