comment;score;en_com
"
บริการค่อยข้างดีค่ะ แต่รอคิวนานนิดหน่อย แต่วินิจฉัยผลแม่นยำ เจ็บป่วยไปรพ. จุฬาทีไร หายทุกครั้งค่ะ แถมราคาไม่แพงด้วยค่ะ เหมาะกับเด็กต่างจังหวัดที่เข้ามาอาศัยในกรุงเทพได้มากเลยค่ะ ตอนแรกหนูก็กังวลว่าจะแพงอาหารที่จำหน่ายก็อนามัยมากค่ะ มีปริมาณและจำนวนแคลอรี่บอกด้วย รสชาติค่อนข้างดีค่ะ ไม่จัดจ้านจนเกินไป แอร์หนาวมาก55555555555 
";5;Service is good. But wait for a long time But accurate diagnosis Ill go to the hospital Chulalongkorn, which is lost every time Plus not too expensive Suitable for provincial children who come to live in Bangkok a lot. At first I was worried that it would be expensive. Food sold is very hygienic. With the amount and amount of calories said The taste is quite good. Not too bold Very cold air 55555555555
"
ได้มีอาการอาหารเป็นพิษและเข้าทำการรักษาที่โรงพยาบาบแห่งนี้ ทางคุณหมอแลัพยาบาลดูแลดีมาก พร้อมกับแนะนำการรักษาเบื้องต้น โดยที่ทางผมนั้นได้ปฏิบัติตามคำแนะนำของคุณหมอแบะทานยาควบคู่กับที่คุณหมอได้แจ้งไว้ ใช้เวลาไม่ถึง 2 วัน อาการอาหารเป็นพิษก็หายเป็นปลิดทิ้ง ต้องขอบคุณทางโรงพยาบาลที่ช่วยดูแลมากแบบนี้ครับ
";5;Have food poisoning and take treatment at this hospital The doctor is very good. Along with the introduction of primary treatment By which I followed the instructions of the doctor and took the medicine along with the doctor informed It takes less than 2 days. The food poisoning has disappeared. Thanks to the hospital that helps take care of this.
"
มีบริการดีในระดับนึงเลยครับ เรยไปอยู่หลายครั้ง ประทับใจทุกครั้งครับ พอถึงคิวตรวจ เข้าไปคุยกับคุณหมอ ตอนแรกก็ไม่รู้อาการว่าตัวเองเป็นโรคอะไรเพราะปกติจะมีอาการแบบโรคกระเพาะมักจะนึกว่าตนเองเป็นโรคกระเพาะตลอด พอมาตรวจกับคุณหมอจึงรู้เลยว่าตัวเองเป็นโรคเกี่ยวกับลำไส้ คุณหมอเก่งมากรักษาถูกจุด อาการก็ดีขึ้นเรื่อยๆ
";5;"There is a good service at a certain level. Many times Impressed every time. When the queue was checked, went to talk to the doctor. At first I didn&#39;t know what the disease was because I had a stomach ulcer. I usually thought I had gastritis all the time. When he came to check with the doctor, he knew that he was a bowel disease. The doctor is very good at keeping the point. The condition is getting better."
"
บริการค่อยข้างดีค่ะ แต่รอคิวนานนิดหน่อย แต่วินิจฉัยผลแม่นยำ เจ็บป่วยไปรพ. จุฬาทีไร หายทุกครั้งค่ะ แถมราคาไม่แพงด้วยค่ะ เหมาะกับเด็กต่างจังหวัดที่เข้ามาอาศัยในกรุงเทพได้มากเลยค่ะ ตอนแรกหนูก็กังวลว่าจะแพงอาหารที่จำหน่ายก็อนามัยมากค่ะ มีปริมาณและจำนวนแคลอรี่บอกด้วย รสชาติค่อนข้างดีค่ะ ไม่จัดจ้านจนเกินไป แอร์หนาวมาก55555555555 
";5;Service is good. But wait for a long time But accurate diagnosis Ill go to the hospital Chulalongkorn, which is lost every time Plus not too expensive Suitable for provincial children who come to live in Bangkok a lot. At first I was worried that it would be expensive. Food sold is very hygienic. With the amount and amount of calories said The taste is quite good. Not too bold Very cold air 55555555555
"
ได้มีอาการอาหารเป็นพิษและเข้าทำการรักษาที่โรงพยาบาบแห่งนี้ ทางคุณหมอแลัพยาบาลดูแลดีมาก พร้อมกับแนะนำการรักษาเบื้องต้น โดยที่ทางผมนั้นได้ปฏิบัติตามคำแนะนำของคุณหมอแบะทานยาควบคู่กับที่คุณหมอได้แจ้งไว้ ใช้เวลาไม่ถึง 2 วัน อาการอาหารเป็นพิษก็หายเป็นปลิดทิ้ง ต้องขอบคุณทางโรงพยาบาลที่ช่วยดูแลมากแบบนี้ครับ
";5;Have food poisoning and take treatment at this hospital The doctor is very good. Along with the introduction of primary treatment By which I followed the instructions of the doctor and took the medicine along with the doctor informed It takes less than 2 days. The food poisoning has disappeared. Thanks to the hospital that helps take care of this.
"
มีบริการดีในระดับนึงเลยครับ เรยไปอยู่หลายครั้ง ประทับใจทุกครั้งครับ พอถึงคิวตรวจ เข้าไปคุยกับคุณหมอ ตอนแรกก็ไม่รู้อาการว่าตัวเองเป็นโรคอะไรเพราะปกติจะมีอาการแบบโรคกระเพาะมักจะนึกว่าตนเองเป็นโรคกระเพาะตลอด พอมาตรวจกับคุณหมอจึงรู้เลยว่าตัวเองเป็นโรคเกี่ยวกับลำไส้ คุณหมอเก่งมากรักษาถูกจุด อาการก็ดีขึ้นเรื่อยๆ
";5;"There is a good service at a certain level. Many times Impressed every time. When the queue was checked, went to talk to the doctor. At first I didn&#39;t know what the disease was because I had a stomach ulcer. I usually thought I had gastritis all the time. When he came to check with the doctor, he knew that he was a bowel disease. The doctor is very good at keeping the point. The condition is getting better."
"
สำหรับโรงพยาบาลจุฬาลงกรณ์ บริการดีมากค่ะ ฝากท้องและคลอดที่นี่ รวมถึงการคุมกำเนิด ประทับใจตั้งแต่เริ่มฝากท้อง บุคลากรทุกท่านให้ความใส่ใจคุณแม่ทุกท่านดีมากค่ะ นักศึกษาแพทย์ รวมถึงนางพยาบาล ใจดีมากค่ะ น่ารักทุกคน ถ้ามีคนที่สองฝากที่นี่เหมือนเดิมค่ะ ขอให้ทาง รพ.รักษาภาพลักษณ์ที่ดีตลอดไปเพื่อคนไข้ทุกคน ขอบคุณค่ะ
";5;For Chulalongkorn Hospital Very good service Leave and give birth here. Including contraception Impressed from the beginning of the deposit All personnel are very attentive to all mothers. Medical student Including the nurse, very kind, cute, everyone
"
ตรวจดีๆมากๆนะ คุณหมอให้คะแนำนะวินิจฉัย​ดีมากๆ เพราะตรวจสุขภาพเป็นสิ่งที่จำเป็นและคสรระวัง เพราะบางโรคมักมาโดยไม่รู้ตัว เคยแนะนำให้เพืือนไปตรวจที่โรงพยาบาบนี้เหมือนกะน เพื่อนก็โอเคด้วย เพราะบริการ ดีเ็นระบบ เรียบร้อย เลยอยากมารีวิวเพื่อให้ทุกคนไปใข้บริการและเป็นส่วนนึวของการตัดสินใจในการรักษาและดูแลสุขภาะของตัวเราเอง
";5;Check it very well The doctor gave me a very good diagnosis. Because health checks are necessary and careful Because some diseases often come unconsciously Had recommended to go to check at this hospital like Kan Friends are okay because the service is good, so I want to come to review for everyone to use and serve as a part of the decision to maintain and take care of our own health.
"
ตรวจดีมากๆค่ะคุณหมอละเอียด พยาบาลก็ดีดูแลคนไข้ดีค่ะใกล้บ้านไปง่ายกลับง่ายสะดวกมากๆเลยค่ะ รับยาก็ไม่นานมากพอรอไหวไปตรวจภายในมา บอกละเอียดหมดเลยค่ะชอบมากอยากไปตรวจทุกปี บอกตั้งแต่หัวจรดเท้าเลย ภายในเราเป็นยังไงบ้างละเอียดมากค่ะอยากให้ทุกคนลองไปใช้บริการโรงพยาบาลจุฬาลงกรณ์ดูนะคะ เพื่อเป็นประโยชน์ของทุกคน ดีมากจริงๆค่ะแนะนำเลย 
";4;Very good check Nursing is good, take good care of the patient, close to home, easy to go, easy to use, very convenient. Receiving drugs is not long enough. Waiting to go to check inside. I would like to check every year. Tell from head to toe What is the inside of us? Very detailed. I want everyone to try to use Chulalongkorn Hospital. For the benefit of everyone Very good. Really recommend it.
"
บิรการดีในระดับนึงเลยครับ เรยไปอยู่หลายครั้ง ประทับใจทุกครั้งครับ พอถึงคิวตรวจ เข้าไปคุยกับคุณหมอ ตอนแรกก็ไม่รู้อาการว่าตัวเองเป็นโรคอะไรเพราะปกติจะมีอาการแบบโรคกระเพาะมักจะนึกว่าตนเองเป็นโรคกระเพาะตลอด พอมาตรวจกับคุณหมอจึงรู้เลยว่าตัวเองเป็นโรคเกี่ยวกับลำไส้ คุณหมอเก่งมากรักษาถูกจุด อาการก็ดีขึ้นเรื่อยๆ
";4;"Good service at a certain level Many times Impressed every time. When the queue was checked, went to talk to the doctor. At first I didn&#39;t know what the disease was because I had a stomach ulcer. I usually thought I had gastritis all the time. When he came to check with the doctor, he knew that he was a bowel disease. The doctor is very good at keeping the point. The condition is getting better."
"
มีโอกาสได้ไปหาหมอที่โรงพยาบาลจุฬาลงกรณ์ค่ะ คุณหมอเก่งมีประสบการณ์ มีความเชี่ยวชาญ สงสัยอะไรสอบถามคุณหมอได้หมดค่ะ มีการบริการที่ดี ใส่ใจผู้ป่วย ลดความเครียดและตระหนกได้เป็นอย่างดี แต่คิวยาวมากเช่นเดียวกันค่ะ ต้องรอระยะนึง เนื่องจากไม่ได้เป็นหนักมาก หรือฉุกเฉิน โดยรวมถือว่าโอเค ได้รับข้อมูลที่ต้องการ 
";4;Had the opportunity to visit a doctor at Chulalongkorn Hospital Dr. Weng has experience. Have expertise Wondering what you can do with your doctor? Have good service, care for patients, reduce stress and panic But the queue is very long as well Have to wait for a while Because it is not very heavy or emergency, overall it is ok Get the information you need
"
ตรวจดีมากๆค่ะคุณหมอละเอียด พยาบาลก็ดีดูแลคนไข้ดีค่ะใกล้บ้านไปง่ายกลับง่ายสะดวกมากๆเลยค่ะ รับยาก็ไม่นานมากพอรอไหวไปตรวจภายในมา บอกละเอียดหมดเลยค่ะชอบมากอยากไปตรวจทุกปี บอกตั้งแต่หัวจรดเท้าเลย ภายในเราเป็นยังไงบ้างละเอียดมากค่ะอยากให้ทุกคนลองไปใช้บริการโรงพยาบาลจุฬาลงกรณ์ดูนะคะ เพื่อเป็นประโยชน์ของทุกคน ดีมากจริงๆค่ะแนะนำเลย
";5;Very good check Nursing is good, take good care of the patient, close to home, easy to go, easy to use, very convenient. Receiving drugs is not long enough. Waiting to go to check inside. I would like to check every year. Tell from head to toe What is the inside of us? Very detailed. I want everyone to try to use Chulalongkorn Hospital. For the benefit of everyone Very good. Really recommend it.
"
ไปฝังยาคุมที่โรงพยาบาลจุฬามาค่ะเดินทางสะดวกอยู่ติดbtsและmrt บริการรวดเร็วมีความเป็นกันเองมากค่ะสำหรับบุคคลที่อายุไม่เกิน20ปีฝังฟรีค่ะจ่ายแค่ค่าตรวจภายใน300บาท นักศึกษามาจากต่างจังหวัดก็สามารถฝังได้ค่ะสามารถปรึกษานักสังคมสงเคราะห์ที่แผนกสุตินรีเวชได้ค่ะแต่ถ้าไม่เคยทำบัตรควรมารอคิวตั้งแต่เช้าเพราะใช้เวลาทำค่อนข้างนานค่ะ
";5;Went to bury the control pills at Chula Hospital, convenient transportation, next to bts and mrt Fast service is very friendly for people under the age of 20 years, buried for free. Pay only for the examination fee within 300 baht. Students from other provinces can embed it. You can consult a social worker at the gynecology department, but if you have never made a card, you should wait in the morning because it takes a long time.
"
ที่โรงพยาบาลจุฬาฯรู้สึกประทับใจจากเจ้าหน้าที่เวชระเบียน พี่พยาบาล และคุณหมอ ดูแลดีมาก บริการเป็นกันเอง ใจดี ให้คำแนะนำช่วยเหลืออย่างดี ประทับใจมากบริเวณสถานที่สะอาด น่าอยู่ค่ะฮ่าๆ คุณหมอมือเบาดีค่ะ.เวลาฉีดยา ไม่ค่อยรู้สึกเจ็บเท่าไหร่ ได้ยามาเยอะมากเหมือนกัน เภสัชเขาแนะนำการกินยาที่ถูกต้อง คนเยอะไปหน่อย แต่บริการประทับใจ พยาบาลอาจมีดุบ้าง แต่เขาทำตามหน้าที่ เข้าใจค่ะ ฮ่าๆๆ
";5;At Chulalongkorn Hospital was impressed by the medical records staff, nurses and doctors, very good care, friendly service, kind heart, good advice, very helpful, very impressive, clean place. Good to live. Haha. The doctor gave me a good light. Rarely feel hurt Get a lot of drugs too The pharmacist advised him to take the correct medicine. A lot of people But impressive service The nurse may have some scolding. But he did his job to understand. Hahaha.
"
พอดีพาคุณแม่มาตรวจสุขภาพประจำปี ในการตรวจแต่ละแผนก ทั้งเจาะเลือด เอ็กซเรย์ รอคิวไม่นาน เจ้าหน้าที่ทำงานอย่างเป็นระบบ ส่วนการเดินทางมาโรงพยาบาลก็ง่าย เดินทางสะดวก อยู่ใกล้ทั้ง รถไฟฟ้า และ รถไฟฟ้าใต้ดิน ลงจากรถไฟฟ้า สถานีศาลาแดง ก็มีทางเชื่อมมาถึงตึก ภปร.เลย แต่ถ้ามารถยนต์ส่วนตัว อาจจะลำบากไปนิดหน่อยเพราะรถติด ส่วนการบริการเจ้าหน้าที่และแพทย์ พูดจาดี อัธยาศัยดี ทั้งเจ้าหน้าที่ในห้องลงทะเบียน ก็มีอัธยาศัยดี ไม่มีหงุดหงิดอารมณ์เสียใส่เลย ประทับใจมากค่ะ
";4;Fit to take the mother to check the annual health. In each department examination Both blood collection, x-ray waiting, queue is not long, staff work systematically As for travel to the hospital, it is easy to travel, conveniently located near both the BTS and MRT stations. From the Saladaeng BTS station, there is a link to the Phor Phrao building. May be a little difficult because the car is stuck As for the service, the staff and doctors speak well, friendly, both the staff in the registration room. Good-natured No frustration, upset at all. Very impressed
